System_Time,Timestamp_1,Gyro_X_1,Gyro_Y_1,Gyro_Z_1,Acc_X_1,Acc_Y_1,Acc_Z_1,Mag_X_1,Mag_Y_1,Mag_Z_1,Quat_W_1,Quat_X_1,Quat_Y_1,Quat_Z_1,Linear_Acc_X_1,Linear_Acc_Y_1,Linear_Acc_Z_1,Timestamp_2,Gyro_X_2,Gyro_Y_2,Gyro_Z_2,Acc_X_2,Acc_Y_2,Acc_Z_2,Mag_X_2,Mag_Y_2,Mag_Z_2,Quat_W_2,Quat_X_2,Quat_Y_2,Quat_Z_2,Linear_Acc_X_2,Linear_Acc_Y_2,Linear_Acc_Z_2,Timestamp_3,Gyro_X_3,Gyro_Y_3,Gyro_Z_3,Acc_X_3,Acc_Y_3,Acc_Z_3,Mag_X_3,Mag_Y_3,Mag_Z_3,Quat_W_3,Quat_X_3,Quat_Y_3,Quat_Z_3,Linear_Acc_X_3,Linear_Acc_Y_3,Linear_Acc_Z_3,kd_joint1,kd_joint2,kp_joint1,kp_joint2,p_des_joint1,p_des_joint2,ret0_joint1,ret0_joint2,ret1_joint1,ret1_joint2,ret2_joint1,ret2_joint2,t_ff_joint1,t_ff_joint2,v_des_joint1,v_des_joint2
32:56.2,55.1,0.016,0.03,0.035,-0.285,-0.962,-0.011,11.78,-4.64,-52.17,0.6919,-0.6839,-0.0286,-0.2295,-0.006,-0.004,-0.024,43.975,0,0.009,-0.004,-0.126,-0.968,-0.136,27.82,-22.33,-75.97,0.7398,-0.6525,-0.0456,-0.1571,-0.004,-0.012,-0.008,44.945,-0.041,0.003,0.014,-0.04,-0.985,0.049,69.45,-14,-69.48,0.6835,-0.718,0.1067,0.0759,0.003,-0.012,0.004,0,0,0,0,0,0,-0.006902695,-0.000575066,-0.058608055,-0.073260307,0,-0.014652252,0,0,0,0
32:56.2,55.18,0.004,0.014,0.03,-0.299,-0.982,-0.015,11.6,-5.17,-51.79,0.691,-0.6842,-0.0281,-0.2309,0.005,0.016,-0.018,43.975,0,0.009,-0.004,-0.126,-0.968,-0.136,27.82,-22.33,-75.97,0.7398,-0.6525,-0.0456,-0.1571,-0.004,-0.012,-0.008,44.945,-0.041,0.003,0.014,-0.04,-0.985,0.049,69.45,-14,-69.48,0.6835,-0.718,0.1067,0.0759,0.003,-0.012,0.004,0,0,0,0,0,0,-0.006902695,-0.000575066,-0.058608055,-0.073260307,0,-0.014652252,0,0,0,0
32:56.2,55.185,0.004,0.017,0.03,-0.299,-0.979,-0.015,11.6,-5.17,-51.79,0.691,-0.6842,-0.0281,-0.231,0.004,0.012,-0.018,43.975,0,0.009,-0.004,-0.126,-0.968,-0.136,27.82,-22.33,-75.97,0.7398,-0.6525,-0.0456,-0.1571,-0.004,-0.012,-0.008,44.945,-0.041,0.003,0.014,-0.04,-0.985,0.049,69.45,-14,-69.48,0.6835,-0.718,0.1067,0.0759,0.003,-0.012,0.004,0,0,0,0,0,0,-0.006902695,-0.000575066,-0.058608055,-0.073260307,0,-0.014652252,0,0,0,0
32:56.2,55.19,0.002,0.02,0.028,-0.297,-0.976,-0.014,11.69,-5.17,-51.76,0.691,-0.6842,-0.0281,-0.2311,0.003,0.01,-0.019,43.975,0,0.009,-0.004,-0.126,-0.968,-0.136,27.82,-22.33,-75.97,0.7398,-0.6525,-0.0456,-0.1571,-0.004,-0.012,-0.008,44.945,-0.041,0.003,0.014,-0.04,-0.985,0.049,69.45,-14,-69.48,0.6835,-0.718,0.1067,0.0759,0.003,-0.012,0.004,0,0,0,0,0,0,-0.006902695,-0.000575066,-0.058608055,-0.073260307,0,-0.014652252,0,0,0,0
32:56.2,55.22,-0.003,0.008,0.021,-0.292,-0.95,-0.009,11.25,-4.61,-52.26,0.6908,-0.6843,-0.0279,-0.2314,-0.003,-0.015,-0.024,43.975,0,0.009,-0.004,-0.126,-0.968,-0.136,27.82,-22.33,-75.97,0.7398,-0.6525,-0.0456,-0.1571,-0.004,-0.012,-0.008,44.945,-0.041,0.003,0.014,-0.04,-0.985,0.049,69.45,-14,-69.48,0.6835,-0.718,0.1067,0.0759,0.003,-0.012,0.004,0,0,0,0,0,0,-0.006902695,-0.000575066,-0.058608055,-0.073260307,0,-0.014652252,0,0,0,0
32:56.2,55.175,0.003,0.013,0.031,-0.297,-0.983,-0.018,11.6,-5.17,-51.79,0.6911,-0.6842,-0.0282,-0.2308,0.003,0.017,-0.015,43.975,0,0.009,-0.004,-0.126,-0.968,-0.136,27.82,-22.33,-75.97,0.7398,-0.6525,-0.0456,-0.1571,-0.004,-0.012,-0.008,44.945,-0.041,0.003,0.014,-0.04,-0.985,0.049,69.45,-14,-69.48,0.6835,-0.718,0.1067,0.0759,0.003,-0.012,0.004,0,0,0,0,0,0,-0.006902695,-0.000575066,-0.058608055,-0.073260307,0,-0.014652252,0,0,0,0
32:56.2,55.21,-0.006,0.014,0.025,-0.293,-0.955,-0.011,11.28,-5.02,-52.11,0.6909,-0.6843,-0.028,-0.2313,-0.001,-0.01,-0.022,43.975,0,0.009,-0.004,-0.126,-0.968,-0.136,27.82,-22.33,-75.97,0.7398,-0.6525,-0.0456,-0.1571,-0.004,-0.012,-0.008,44.945,-0.041,0.003,0.014,-0.04,-0.985,0.049,69.45,-14,-69.48,0.6835,-0.718,0.1067,0.0759,0.003,-0.012,0.004,0,0,0,0,0,0,-0.006902695,-0.000575066,-0.058608055,-0.073260307,0,-0.014652252,0,0,0,0
32:56.2,55.215,-0.004,0.005,0.022,-0.293,-0.951,-0.01,11.25,-4.61,-52.26,0.6909,-0.6843,-0.028,-0.2314,-0.001,-0.014,-0.023,43.975,0,0.009,-0.004,-0.126,-0.968,-0.136,27.82,-22.33,-75.97,0.7398,-0.6525,-0.0456,-0.1571,-0.004,-0.012,-0.008,44.945,-0.041,0.003,0.014,-0.04,-0.985,0.049,69.45,-14,-69.48,0.6835,-0.718,0.1067,0.0759,0.003,-0.012,0.004,0,0,0,0,0,0,-0.006902695,-0.000575066,-0.058608055,-0.073260307,0,-0.014652252,0,0,0,0
32:56.2,55.225,-0.003,0.007,0.018,-0.291,-0.95,-0.008,11.95,-6.16,-51.94,0.6908,-0.6843,-0.0279,-0.2315,-0.004,-0.015,-0.025,43.975,0,0.009,-0.004,-0.126,-0.968,-0.136,27.82,-22.33,-75.97,0.7398,-0.6525,-0.0456,-0.1571,-0.004,-0.012,-0.008,44.945,-0.041,0.003,0.014,-0.04,-0.985,0.049,69.45,-14,-69.48,0.6835,-0.718,0.1067,0.0759,0.003,-0.012,0.004,0,0,0,0,0,0,-0.006902695,-0.000575066,-0.058608055,-0.073260307,0,-0.014652252,0,0,0,0
32:56.2,55.23,-0.001,0.011,0.017,-0.292,-0.951,-0.012,11.95,-6.16,-51.94,0.6908,-0.6843,-0.0279,-0.2315,-0.003,-0.014,-0.022,43.975,0,0.009,-0.004,-0.126,-0.968,-0.136,27.82,-22.33,-75.97,0.7398,-0.6525,-0.0456,-0.1571,-0.004,-0.012,-0.008,44.945,-0.041,0.003,0.014,-0.04,-0.985,0.049,69.45,-14,-69.48,0.6835,-0.718,0.1067,0.0759,0.003,-0.012,0.004,0,0,0,0,0,0,-0.006902695,-0.000575066,-0.058608055,-0.073260307,0,-0.014652252,0,0,0,0
