timestamp,joint_id,ret0,ret1,ret2,p_des,v_des,kp,kd,t_ff,mode
2025-12-14 17:02:38.296,1,-0.2974052429199219,0.13919448852539062,0.40659332275390625,-0.2555423974990845,0.2682114243507385,15.0,5.0,0.0,0
2025-12-14 17:02:38.296,2,0.0,0.0,0.0,-0.0067336843349039555,-0.18359337747097015,15.0,5.0,0.0,1
2025-12-14 17:02:38.298,1,-0.29663848876953125,0.21245384216308594,0.3772897720336914,-0.25500309467315674,0.2701297402381897,15.0,5.0,0.0,0
2025-12-14 17:02:38.298,2,0.0,0.0,0.0,-0.007101727183908224,-0.18416377902030945,15.0,5.0,0.0,1
2025-12-14 17:02:38.302,1,-0.29625511169433594,0.03663063049316406,0.3772897720336914,-0.2544599771499634,0.2720382809638977,15.0,5.0,0.0,0
2025-12-14 17:02:38.302,2,0.0,0.0,0.0,-0.007470904383808374,-0.18472962081432343,15.0,5.0,0.0,1
2025-12-14 17:02:38.304,1,-0.2958717346191406,0.08058547973632812,0.40659332275390625,-0.25363820791244507,0.2748505473136902,15.0,5.0,0.0,1
2025-12-14 17:02:38.304,2,0.0,0.0,0.0,-0.008026775903999805,-0.18556974828243256,15.0,5.0,0.0,1
2025-12-14 17:02:38.306,1,-0.2951040267944336,0.27106285095214844,0.3846149444580078,-0.25308576226234436,0.27667367458343506,15.0,5.0,0.0,1
2025-12-14 17:02:38.306,2,0.0,0.0,0.0,-0.008398747071623802,-0.1861240416765213,15.0,5.0,0.0,1
2025-12-14 17:02:38.309,1,-0.29433727264404297,0.2417583465576172,0.3919410705566406,-0.2525295913219452,0.27854838967323303,15.0,5.0,0.0,0
2025-12-14 17:02:38.309,2,0.0,0.0,0.0,-0.008771820925176144,-0.18667399883270264,15.0,5.0,0.0,1
2025-12-14 17:02:38.311,1,-0.29395389556884766,0.1831493377685547,0.3919410705566406,-0.25196969509124756,0.28041329979896545,15.0,5.0,0.0,0
2025-12-14 17:02:38.311,2,0.0,0.0,0.0,-0.009145987220108509,-0.18721923232078552,15.0,5.0,0.0,1
2025-12-14 17:02:38.313,1,-0.29318714141845703,0.16849899291992188,0.39926719665527344,-0.25140610337257385,0.2822684347629547,15.0,5.0,0.0,0
2025-12-14 17:02:38.313,2,0.0,0.0,0.0,-0.009521236643195152,-0.18775969743728638,15.0,5.0,0.0,1
2025-12-14 17:02:38.316,1,-0.29241943359375,0.27106285095214844,0.39926719665527344,-0.25055381655693054,0.28501400351524353,15.0,5.0,0.0,1
2025-12-14 17:02:38.316,2,0.0,0.0,0.0,-0.010086121968925,-0.18856142461299896,15.0,5.0,0.0,1
2025-12-14 17:02:38.318,1,-0.2920360565185547,0.05128288269042969,0.3919410705566406,-0.2499810755252838,0.2868105173110962,15.0,5.0,0.0,1
